Roll_S1,Pitch_S1,Yaw_S1,Roll_S2,Pitch_S2,Yaw_S2,Roll_S3,Pitch_S3,Yaw_S3,Miscare,Time
-13.91,-74.31,-2.58,-72.06,-17.68,-26.5,-2.9,69.47,-0.02,Read_Book_Normal,0
-14.11,-74.24,-3.92,-72.28,-17.83,-26.5,-2.76,69.25,-0.04,Read_Book_Normal,0.02
-14.05,-74.88,-4.1,-72.46,-17.79,-26.5,-3.08,69.26,0.01,Read_Book_Normal,0.04
-13.98,-74.27,-4.15,-72.6,-17.67,-26.5,-3.51,69.26,0.16,Read_Book_Normal,0.06
-13.95,-74.67,-4.17,-72.88,-17.59,-26.5,-3.61,69.29,0.26,Read_Book_Normal,0.08
-14,-74.55,-4.17,-73.04,-17.31,-26.5,-4.02,69.49,0.22,Read_Book_Normal,0.1
-14.03,-74.04,-4.18,-72.29,-17.46,-26.5,-4.36,69.28,0.15,Read_Book_Normal,0.12
-14.1,-73.62,-4.2,-72.24,-17.53,-26.5,-3.55,69.33,0.04,Read_Book_Normal,0.14
-13.97,-74.98,-4.24,-72.78,-17.58,-26.5,-3,69.45,0.15,Read_Book_Normal,0.16
-13.73,-75.43,-4.26,-73.84,-17.04,-26.5,-3.4,69.8,0.28,Read_Book_Normal,0.18
-13.62,-75.32,-4.34,-73.49,-16.9,-26.5,-3.67,69.88,0.39,Read_Book_Normal,0.2
-13.61,-74.41,-4.5,-74.05,-16.3,-26.5,-4.5,70.36,0.29,Read_Book_Normal,0.22
-13.71,-74.14,-3.73,-73.59,-16.31,-26.5,-5.74,70.21,0.13,Read_Book_Normal,0.24
-13.83,-75.77,-3.22,-73.69,-16.64,-26.5,-6.2,69.96,0,Read_Book_Normal,0.26
-13.94,-73.96,-3.17,-72.85,-16.54,-26.5,-5.85,69.74,-0.17,Read_Book_Normal,0.28
-14.12,-75.77,-3.54,-72.67,-16.83,-26.5,-4.87,69.42,-0.56,Read_Book_Normal,0.3
-13.64,-75.55,-3.73,-72.66,-16.91,-26.5,-4.18,69.42,-0.82,Read_Book_Normal,0.32
-12.93,-76.82,-3.92,-73,-16.68,-26.5,-4.12,69.77,-0.74,Read_Book_Normal,0.34
-11.95,-78.6,-4.2,-74.67,-16.1,-26.5,-4.45,70.64,-0.44,Read_Book_Normal,0.36
-10.99,-79.32,-4.4,-73.99,-15.37,-26.5,-4.11,71.8,-0.26,Read_Book_Normal,0.38
-10.45,-78.04,-4.61,-73.89,-15.12,-26.5,-3.2,72.88,-0.18,Read_Book_Normal,0.4
-10.13,-79,-4.71,-73.75,-15.12,-26.5,-3.54,73.65,-0.11,Read_Book_Normal,0.42
-10.3,-77.47,-4.63,-73.78,-15.46,-26.5,-3.39,73.85,0.13,Read_Book_Normal,0.44
-10.35,-77.97,-4.64,-74.13,-15.36,-26.5,-4.12,73.76,0.19,Read_Book_Normal,0.46
-10.48,-77.84,-4.48,-74.67,-15.14,-26.5,-4.75,73.63,0.26,Read_Book_Normal,0.48
-10.77,-77.92,-4.66,-74.11,-15,-26.5,-5.38,73.3,0.21,Read_Book_Normal,0.5
-10.77,-77.58,-4.31,-75.07,-14.96,-26.5,-6.11,73.12,0.31,Read_Book_Normal,0.52
-11.05,-77.73,-4.03,-74.84,-14.76,-26.5,-6.37,72.93,0.3,Read_Book_Normal,0.54
-11.24,-77.32,-4.05,-74.95,-14.71,-26.5,-6.6,72.68,0.16,Read_Book_Normal,0.56
-11.38,-77.05,-4.41,-73.94,-14.81,-26.5,-6.55,72.46,-0.04,Read_Book_Normal,0.58
-11.71,-76.91,-4.37,-74.62,-14.94,-26.5,-6.82,72.03,-0.07,Read_Book_Normal,0.6
-11.81,-77.41,-4.35,-74.83,-15.03,-26.5,-6.83,71.79,-0.03,Read_Book_Normal,0.62
-11.87,-77.09,-4.26,-74.98,-14.93,-26.5,-7.04,71.69,0.01,Read_Book_Normal,0.64
-11.99,-76.87,-4.21,-74.7,-14.81,-26.5,-7.3,71.61,0.03,Read_Book_Normal,0.66
-12.07,-76.81,-4,-74.48,-14.76,-26.5,-7.7,71.5,-0.05,Read_Book_Normal,0.68
-12.17,-76.73,-3.31,-74.94,-14.84,-26.5,-7.8,71.4,-0.1,Read_Book_Normal,0.7
-12.32,-77.11,-2.81,-74.66,-14.91,-26.5,-7.89,71.19,-0.2,Read_Book_Normal,0.72
-12.35,-76.8,-2.92,-74.81,-14.98,-26.5,-7.48,71.07,-0.29,Read_Book_Normal,0.74
-12.29,-76.93,-3.24,-74.74,-15.03,-26.5,-7.04,71.07,-0.29,Read_Book_Normal,0.76
-12.24,-76.94,-3.59,-74.5,-15.11,-26.5,-6.91,71.08,-0.26,Read_Book_Normal,0.78
-12.08,-77.07,-3.57,-74.44,-15.1,-26.5,-6.79,71.24,-0.31,Read_Book_Normal,0.8
-11.92,-77.26,-3.68,-73.97,-15.13,-26.5,-6.62,71.37,-0.39,Read_Book_Normal,0.82
-11.74,-77.42,-3.87,-74.21,-15.24,-26.5,-6.04,71.52,-0.38,Read_Book_Normal,0.84
-11.74,-77.54,-4.08,-74.4,-15.31,-26.5,-5.3,71.58,-0.27,Read_Book_Normal,0.86
-11.61,-77.25,-4.32,-74.12,-15.35,-26.5,-4.77,71.77,-0.22,Read_Book_Normal,0.88
-11.5,-77.18,-4.55,-74.07,-15.55,-26.5,-4.35,71.87,-0.13,Read_Book_Normal,0.9
-11.45,-77.17,-4.73,-74.13,-15.62,-26.5,-4.24,71.87,0.02,Read_Book_Normal,0.92
-11.52,-77.33,-4.81,-74.22,-15.63,-26.5,-4.39,71.78,0.05,Read_Book_Normal,0.94
-11.54,-76.93,-4.61,-74.19,-15.54,-26.5,-4.65,71.78,0.01,Read_Book_Normal,0.96
-11.53,-77.2,-4.27,-73.97,-15.58,-26.5,-4.86,71.81,-0.02,Read_Book_Normal,0.98
-11.53,-77.27,-4.25,-74.51,-15.53,-26.5,-5.13,71.93,-0.03,Read_Book_Normal,1
-11.5,-77.26,-3.99,-74.25,-15.51,-26.5,-5.08,72.06,-0.04,Read_Book_Normal,1.02
-11.35,-77.1,-4.24,-74.09,-15.49,-26.5,-4.96,72.31,-0.1,Read_Book_Normal,1.04
-11.36,-77.21,-4.82,-74.08,-15.51,-26.5,-5.24,72.34,-0.07,Read_Book_Normal,1.06
