dht11_temp_c,status
28.0,healthy
27.9,healthy
27.9,healthy
27.9,healthy
27.9,healthy
27.9,healthy
27.9,healthy
27.9,healthy
27.9,healthy
27.9,healthy
27.9,healthy
27.9,healthy
27.7,healthy
27.7,healthy
27.7,healthy
27.7,healthy
27.7,healthy
27.7,healthy
27.7,healthy
28.0,healthy
28.0,healthy
28.0,healthy
28.0,healthy
28.0,healthy
28.0,healthy
28.0,healthy
28.0,healthy
28.0,healthy
28.0,healthy
28.0,healthy
28.0,healthy
28.0,healthy
28.0,healthy
28.0,healthy
28.0,healthy
28.0,healthy
28.0,healthy
28.0,healthy
28.0,healthy
28.0,healthy
27.9,healthy
27.9,healthy
27.9,healthy
27.9,healthy
27.9,healthy
27.9,healthy
27.9,healthy
27.9,healthy
27.9,healthy
27.9,healthy
27.9,healthy
27.9,healthy
27.9,healthy
27.8,healthy
27.8,healthy
27.8,healthy
27.8,healthy
27.8,healthy
27.8,healthy
27.8,healthy
27.8,healthy
27.8,healthy
27.8,healthy
27.8,healthy
27.8,healthy
27.8,healthy
27.8,healthy
27.8,healthy
27.8,healthy
27.8,healthy
27.8,healthy
27.7,healthy
27.7,healthy
27.7,healthy
27.7,healthy
27.7,healthy
27.7,healthy
27.7,healthy
27.7,healthy
27.7,healthy
27.7,healthy
27.7,healthy
27.6,healthy
27.6,healthy
27.6,healthy
27.6,healthy
27.5,healthy
27.5,healthy
27.5,healthy
27.5,healthy
27.9,healthy
27.9,healthy
27.9,healthy
27.9,healthy
27.9,healthy
27.9,healthy
27.8,healthy
27.8,healthy
27.8,healthy
27.8,healthy
27.8,healthy
27.8,healthy
27.8,healthy
27.8,healthy
27.8,healthy
27.8,healthy
27.8,healthy
27.8,healthy
27.8,healthy
27.8,healthy
27.8,healthy
27.8,healthy
27.8,healthy
27.8,healthy
27.8,healthy
27.8,healthy
27.8,healthy
27.8,healthy
27.8,healthy
27.8,healthy
27.8,healthy
27.8,healthy
27.7,healthy
27.7,healthy
27.7,healthy
27.7,healthy
27.7,healthy
27.7,healthy
27.7,healthy
27.7,healthy
27.7,healthy
27.7,healthy
27.6,healthy
27.6,healthy
27.6,healthy
27.6,healthy
27.6,healthy
27.6,healthy
27.6,healthy
27.6,healthy
27.5,healthy
27.5,healthy
27.5,healthy
27.5,healthy
27.5,healthy
27.5,healthy
27.5,healthy
27.5,healthy
27.4,healthy
27.4,healthy
27.4,healthy
27.4,healthy
27.4,healthy
27.4,healthy
27.4,healthy
27.4,healthy
27.4,healthy
27.4,healthy
27.4,healthy
27.4,healthy
27.3,healthy
27.3,healthy
27.3,healthy
27.3,healthy
27.3,healthy
27.3,healthy
27.3,healthy
